clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	LowReadDepth	Notes
Spring_2016_D10_10.5	27	72	4	4	D	D10	2016	9	0	0	female	pulex		
Spring_2016_D10_10.6	27	72	4	4	D	D10	2016	18	0	0	female	pulex		
April_2017_DBunk_147	19	38	5	5	E	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_148	19	38	5	5	E	DBunk	2017	16	0	0	female	pulex		
April_2017_DBunk_153	19	38	5	5	E	DBunk	2017	20	0	0	female	pulex		
April_2017_DBunk_154	19	38	5	5	E	DBunk	2017	12	0	0	female	pulex		
May_2017_DBunk_519	19	38	5	5	E	DBunk	2017	17	0	0	female	pulex		
May_2017_DBunk_535	19	38	5	5	E	DBunk	2017	17	0	0	female	pulex		
May_2017_DBunk_540	19	38	5	5	E	DBunk	2017	16	0	0	female	pulex		
May_2017_DBunk_575	19	38	5	5	E	DBunk	2017	14	0	0	female	pulex		
May_2017_DBunk_585	19	38	5	5	E	DBunk	2017	11	0	0	female	pulex		
Spring_2017_DBunk_116	19	38	5	5	E	DBunk	2017	16	0	0	female	pulex		
Spring_2017_DBunk_190	19	38	5	5	E	DBunk	2017	12	0	0	female	pulex		
Spring_2017_DBunk_209	19	38	5	5	E	DBunk	2017	7	0	0	female	pulex		
Spring_2017_DBunk_228	19	38	5	5	E	DBunk	2017	18	0	0	female	pulex		
Spring_2017_DBunk_295	19	38	5	5	E	DBunk	2017	14	0	0	female	pulex		
Spring_2017_DBunk_320	19	38	5	5	E	DBunk	2017	14	0	0	female	pulex		
Spring_2017_DBunk_338	19	38	5	5	E	DBunk	2017	23	0	0	female	pulex		
Spring_2017_DBunk_34	19	38	5	5	E	DBunk	2017	9	0	0	female	pulex		
Spring_2017_DBunk_359	19	38	5	5	E	DBunk	2017	13	0	0	female	pulex		
Spring_2017_DBunk_64	19	38	5	5	E	DBunk	2017	14	0	0	female	pulex		
April_2017_DBunk_162	16	41	6	6	F	DBunk	2017	20	0	0	female	pulex		
April_2017_DBunk_19	16	41	6	6	F	DBunk	2017	17	0	0	female	pulex		
April_2017_DBunk_230	16	41	6	6	F	DBunk	2017	13	0	0	female	pulex		
