Clone	Date_Mortality	TossedMarch2nd	AliveMarch72018	Date Arrived	DaystoMortality	Season
DBunk 261	4/24/17			4/17/17	7	April
DBunk 262	7/31/17			4/17/17	105	April
DBunk 263	2/2/18			4/17/17	291	April
DBunk 264	4/24/17			4/17/17	7	April
DBunk 265	6/1/17			4/17/17	45	April
DBunk 266	9/13/17			4/17/17	149	April
DBunk 267	5/5/17			4/17/17	18	April
DBunk 268	3/7/18		N	4/17/17	324	April
DBunk 269	7/31/17			4/17/17	105	April
DBunk 27	3/7/18		N	4/17/17	324	April
DBunk 270	4/24/17			4/17/17	7	April
DBunk 271	8/22/17			4/17/17	127	April
DBunk 272	7/18/17			4/17/17	92	April
DBunk 273	4/24/17			4/17/17	7	April
DBunk 274			Y	4/17/17		April
DBunk 275	8/22/17			4/17/17	127	April
DBunk 276	7/18/17			4/17/17	92	April
DBunk 277	2/2/18			4/17/17	291	April
