clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	AxCF1Hybrid	LabGenerated	OneLiterPheno	LowReadDepth	PnPsAnalysis
March20_2018_DCat_18017	41	16	2	2	B	DCat	2018	6	0	0	female	pulex	0	0	1		
March20_2018_DCat_18033	41	16	2	2	B	DCat	2018	4	0	0	female	pulex	0	0	1		
March20_2018_DCat_18040	41	16	2	2	B	DCat	2018	6	0	0	female	pulex	0	0	1		
March20_2018_DCat_18042	41	16	2	2	B	DCat	2018	6	0	0	female	pulex	0	0	1		
March20_2018_DCat_18047	41	16	2	2	B	DCat	2018	12	0	0	female	pulex	0	0	1		
March20_2018_DCat_18048	41	16	2	2	B	DCat	2018	7	0	0	female	pulex	0	0	1		
Spring_2016_D8_8.17	28	19	3	3	C	D8	2016	11	0	0	female	pulex	0	0	0		
April_2017_D8_125	28	19	3	3	C	D8	2017	21	0	0	female	pulex	0	0	0		1
April_2017_D8_130	28	19	3	3	C	D8	2017	14	0	0	female	pulex	0	0	0		1
April_2017_D8_143	28	19	3	3	C	D8	2017	21	0	0	female	pulex	0	0	0		1
April_2017_D8_151	28	19	3	3	C	D8	2017	35	0	0	female	pulex	0	0	0		1
April_2017_D8_165	28	19	3	3	C	D8	2017	18	0	0	female	pulex	0	0	0		1
April_2017_D8_17	28	19	3	3	C	D8	2017	15	0	0	female	pulex	0	0	0		1
April_2017_D8_18	28	19	3	3	C	D8	2017	21	0	0	female	pulex	0	0	0		1
April_2017_D8_210	28	19	3	3	C	D8	2017	13	0	0	female	pulex	0	0	0		1
April_2017_D8_222	28	19	3	3	C	D8	2017	22	0	0	female	pulex	0	0	1		1
April_2017_D8_27	28	19	3	3	C	D8	2017	17	0	0	female	pulex	0	0	0		1
April_2017_D8_32	28	19	3	3	C	D8	2017	16	0	0	female	pulex	0	0	0		1
April_2017_D8_326	28	19	3	3	C	D8	2017	15	0	0	female	pulex	0	0	0		1
April_2017_D8_47	28	19	3	3	C	D8	2017	12	0	0	female	pulex	0	0	0		1
April_2017_D8_48	28	19	3	3	C	D8	2017	12	0	0	female	pulex	0	0	0		1
April_2017_D8_58	28	19	3	3	C	D8	2017	13	0	0	female	pulex	0	0	0		1
April_2017_D8_79	28	19	3	3	C	D8	2017	12	0	0	female	pulex	0	0	0		1
April_2017_D8_91	28	19	3	3	C	D8	2017	19	0	0	female	pulex	0	0	0		1
April_2017_DMud_78	28	19	3	3	C	DMud	2017	15	0	0	female	pulex	0	0	0		
May_2017_D8_503	28	19	3	3	C	D8	2017	18	0	0	female	pulex	0	0	0		1
May_2017_D8_515	28	19	3	3	C	D8	2017	19	0	0	female	pulex	0	0	1		1
May_2017_D8_632	28	19	3	3	C	D8	2017	12	0	0	female	pulex	0	0	0		1
May_2017_D8_752	28	19	3	3	C	D8	2017	16	0	0	female	pulex	0	0	0		1
May_2017_D8_758	28	19	3	3	C	D8	2017	16	0	0	female	pulex	0	0	0		1
May_2017_D8_773	28	19	3	3	C	D8	2017	11	0	0	female	pulex	0	0	0		1
May_2017_D8_780	28	19	3	3	C	D8	2017	17	0	0	female	pulex	0	0	0		1
Spring_2017_D8_204	28	19	3	3	C	D8	2017	13	0	0	female	pulex	0	0	0		1
Spring_2017_D8_224	28	19	3	3	C	D8	2017	15	0	0	female	pulex	0	0	0		1
April_2017_D8_515R					C	D8	2017	11	1	0	female	pulex	0	0	0		
Lab_2019_D8_222Male					C	D8	2017	7	1	0	female	pulex	0	0	0		
May_2017_D8_773SM					C	D8	2017		1	0	female	pulex	0	0	0		
Fall_2016_D10_46	27	72	4	4	D	D10	2016	13	0	0	female	pulex	0	0	0		1
Fall_2016_D10_49	27	72	4	4	D	D10	2016	11	0	0	female	pulex	0	0	0		1
Fall_2016_D10_50	27	72	4	4	D	D10	2016	14	0	0	female	pulex	0	0	0		1
Fall_2016_D10_57	27	72	4	4	D	D10	2016	17	0	0	female	pulex	0	0	0		1
Fall_2016_D10_62	27	72	4	4	D	D10	2016	18	0	0	female	pulex	0	0	0		1
Fall_2016_D10_63	27	72	4	4	D	D10	2016	10	0	0	female	pulex	0	0	0		1
Fall_2016_D10_67	27	72	4	4	D	D10	2016	15	0	0	female	pulex	0	0	0		1
Fall_2016_D10_70	27	72	4	4	D	D10	2016	17	0	0	female	pulex	0	0	0		1
Fall_2016_D10_74	27	72	4	4	D	D10	2016	13	0	0	female	pulex	0	0	0		1
Fall_2016_D10_76	27	72	4	4	D	D10	2016	18	0	0	female	pulex	0	0	0		1
Fall_2016_D10_79	27	72	4	4	D	D10	2016	16	0	0	female	pulex	0	0	0		1
Fall_2016_D10_81	27	72	4	4	D	D10	2016	14	0	0	female	pulex	0	0	0		1
Fall_2016_D10_85	27	72	4	4	D	D10	2016	16	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A12	27	72	4	4	D	D10	2016	10	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A13	27	72	4	4	D	D10	2016	10	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A14	27	72	4	4	D	D10	2016	16	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A20	27	72	4	4	D	D10	2016	13	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A21	27	72	4	4	D	D10	2016	10	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A4	27	72	4	4	D	D10	2016	21	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A6	27	72	4	4	D	D10	2016	11	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A7	27	72	4	4	D	D10	2016	17	0	0	female	pulex	0	0	0		1
Fall_2016_D10_A9	27	72	4	4	D	D10	2016	18	0	0	female	pulex	0	0	0		1
Spring_2016_D10_10.1	27	72	4	4	D	D10	2016	16	0	0	female	pulex	0	0	0		1
Spring_2016_D10_10.3	27	72	4	4	D	D10	2016	13	0	0	female	pulex	0	0	0		1
