Clone,NCBISampAccession,SC,population,year,month,medrd,WildSequenced,Sex,Species,AxCF1Hybrid,LabGenerated,OneLiterPheno,LowReadDepth
Spring_2017_DBunk_277,SAMN19067715,L,DBunk,2017,April,10,0,female,pulex,0,0,0,0
Spring_2017_DBunk_281,SAMN19067716,M,DBunk,2017,April,15,0,female,pulex,0,0,0,0
Spring_2017_DBunk_295,SAMN19067717,E,DBunk,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_DBunk_298,SAMN19067718,L,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_315,SAMN19067719,OO,DBunk,2017,April,7,0,female,pulex,0,0,0,0
Spring_2017_DBunk_317,SAMN19067720,Y,DBunk,2017,April,8,0,female,pulex,0,0,0,0
Spring_2017_DBunk_320,SAMN19067721,E,DBunk,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_DBunk_321,SAMN19067722,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_333,SAMN19067723,F,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_338,SAMN19067724,E,DBunk,2017,April,23,0,female,pulex,0,0,0,0
Spring_2017_DBunk_34,SAMN19067725,E,DBunk,2017,April,9,0,female,pulex,0,0,0,0
Spring_2017_DBunk_347,SAMN19067726,F,DBunk,2017,April,20,0,female,pulex,0,0,0,0
Spring_2017_DBunk_353,SAMN19067727,OO,DBunk,2017,April,11,0,female,pulex,0,0,0,0
Spring_2017_DBunk_359,SAMN19067728,E,DBunk,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_DBunk_360,SAMN19067729,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_363,SAMN19067730,AQ,DBunk,2017,April,11,0,female,pulex,0,0,0,0
Spring_2017_DBunk_367,SAMN19067731,OO,DBunk,2017,April,19,0,female,pulex,0,0,0,0
Spring_2017_DBunk_373,SAMN19067732,OO,DBunk,2017,April,17,0,female,pulex,0,0,0,0
Spring_2017_DBunk_378,SAMN19067733,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_380,SAMN19067734,F,DBunk,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_DBunk_387,SAMN19067735,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_399,SAMN19067736,K,DBunk,2017,April,12,0,female,pulex,0,0,0,0
Spring_2017_DBunk_64,SAMN19067737,E,DBunk,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_DBunk_73,SAMN19067738,AP,DBunk,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_DBunk_83,SAMN19067739,F,DBunk,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_DBunk_99,SAMN19067740,AQ,DBunk,2017,April,9,0,female,pulex,0,0,0,0
