af,MAC,pn,ps,SC,rep,sample.n,year
0.583333333333333,7,1,8,OO,100,8,17
0.8,8,1,1,OO,100,8,17
0.5,5,1,1,OO,100,8,17
0.916666666666667,11,0,1,OO,100,8,17
0.833333333333333,10,0,1,OO,100,8,17
0.5,4,0,1,OO,100,8,17
0.7,7,0,1,OO,100,8,17
0.4,4,0,1,OO,100,8,17
0,0,16093,20127,OO,100,8,18
0.214285714285714,3,178,457,OO,100,8,18
0.166666666666667,2,96,149,OO,100,8,18
0.3,3,44,77,OO,100,8,18
0.571428571428571,8,163,399,OO,100,8,18
0.428571428571429,6,201,466,OO,100,8,18
0.142857142857143,2,99,277,OO,100,8,18
0.5,6,128,225,OO,100,8,18
0.0714285714285714,1,172,360,OO,100,8,18
0.4375,7,56,134,OO,100,8,18
0.5,5,54,70,OO,100,8,18
0.1875,3,71,112,OO,100,8,18
0.25,4,62,162,OO,100,8,18
0.25,3,135,246,OO,100,8,18
0.4,4,39,93,OO,100,8,18
0.416666666666667,5,123,211,OO,100,8,18
0.375,6,48,131,OO,100,8,18
0.5,7,226,521,OO,100,8,18
0.0833333333333333,1,96,189,OO,100,8,18
0.785714285714286,11,132,293,OO,100,8,18
0.8125,13,34,96,OO,100,8,18
0.583333333333333,7,93,207,OO,100,8,18
0.357142857142857,5,193,422,OO,100,8,18
0.625,10,52,121,OO,100,8,18
0.285714285714286,4,208,494,OO,100,8,18
0.642857142857143,9,185,428,OO,100,8,18
0.714285714285714,10,177,346,OO,100,8,18
0.7,7,36,78,OO,100,8,18
0.75,9,95,178,OO,100,8,18
0.75,12,44,72,OO,100,8,18
0.5,8,68,147,OO,100,8,18
0.0625,1,77,153,OO,100,8,18
0.5625,9,54,124,OO,100,8,18
0.6,6,48,86,OO,100,8,18
0.666666666666667,8,92,188,OO,100,8,18
0.6875,11,45,112,OO,100,8,18
0.1,1,32,56,OO,100,8,18
0.125,2,31,67,OO,100,8,18
0.2,2,46,92,OO,100,8,18
0.333333333333333,2,2,0,OO,100,8,18
0.8,8,32,54,OO,100,8,18
0.3125,5,44,140,OO,100,8,18
0.333333333333333,4,117,238,OO,100,8,18
0.625,5,14,25,OO,100,8,18
0.75,6,9,19,OO,100,8,18
0.375,3,16,27,OO,100,8,18
0.125,1,10,20,OO,100,8,18
0.857142857142857,12,128,266,OO,100,8,18
1,10,18,42,OO,100,8,18
1,8,7,10,OO,100,8,18
0.875,14,25,54,OO,100,8,18
0.833333333333333,10,48,110,OO,100,8,18
0.916666666666667,11,45,92,OO,100,8,18
0.928571428571429,13,103,241,OO,100,8,18
0.9,9,21,28,OO,100,8,18
0.9375,15,26,60,OO,100,8,18
0.25,2,13,26,OO,100,8,18
1,14,201,353,OO,100,8,18
1,12,69,122,OO,100,8,18
1,16,43,107,OO,100,8,18
0.5,4,15,13,OO,100,8,18
0.666666666666667,4,2,2,OO,100,8,18
0.833333333333333,5,4,2,OO,100,8,18
0.25,1,0,2,OO,100,8,18
0.75,3,0,2,OO,100,8,18
1,6,2,1,OO,100,8,18
0.875,7,6,11,OO,100,8,18
0.5,3,2,2,OO,100,8,18
0.166666666666667,1,0,3,OO,100,8,18
0,0,15465,19116,OO,11,8,17
0.125,2,418,924,OO,11,8,17
0.5,8,273,646,OO,11,8,17
0.625,10,291,547,OO,11,8,17
0.0625,1,707,999,OO,11,8,17
0.642857142857143,9,56,114,OO,11,8,17
0.416666666666667,5,13,33,OO,11,8,17
0.0714285714285714,1,135,205,OO,11,8,17
0.4375,7,366,861,OO,11,8,17
0.5625,9,238,510,OO,11,8,17
0.428571428571429,6,110,217,OO,11,8,17
0.3125,5,415,1012,OO,11,8,17
0.142857142857143,2,87,199,OO,11,8,17
0.375,6,486,1004,OO,11,8,17
0.357142857142857,5,128,247,OO,11,8,17
0.5,7,90,167,OO,11,8,17
0.571428571428571,8,67,102,OO,11,8,17
0.875,14,45,94,OO,11,8,17
0.75,12,97,215,OO,11,8,17
0.857142857142857,12,8,22,OO,11,8,17
0.6875,11,151,386,OO,11,8,17
0.785714285714286,11,24,68,OO,11,8,17
0.8125,13,88,198,OO,11,8,17
0.714285714285714,10,30,55,OO,11,8,17
0.928571428571429,13,6,6,OO,11,8,17
0.1875,3,357,768,OO,11,8,17
0.75,9,2,7,OO,11,8,17
0.25,4,349,859,OO,11,8,17
0.214285714285714,3,87,213,OO,11,8,17
0.0833333333333333,1,24,28,OO,11,8,17
0.5,6,13,23,OO,11,8,17
0.285714285714286,4,114,216,OO,11,8,17
0.25,3,18,22,OO,11,8,17
0.333333333333333,4,16,29,OO,11,8,17
0.583333333333333,7,10,14,OO,11,8,17
0.4,4,3,3,OO,11,8,17
0.7,7,0,2,OO,11,8,17
0.166666666666667,2,10,26,OO,11,8,17
0.666666666666667,8,8,4,OO,11,8,17
0.9375,15,31,44,OO,11,8,17
0.916666666666667,11,0,4,OO,11,8,17
1,16,3,4,OO,11,8,17
1,14,2,8,OO,11,8,17
0.833333333333333,10,3,3,OO,11,8,17
0.2,2,1,3,OO,11,8,17
0.1,1,2,4,OO,11,8,17
0.125,1,0,1,OO,11,8,17
0.9,9,0,2,OO,11,8,17
0.5,5,0,2,OO,11,8,17
0.8,8,0,1,OO,11,8,17
0.3,3,1,0,OO,11,8,17
0.375,3,0,1,OO,11,8,17
0,0,15992,19898,OO,11,8,18
0.1875,3,196,467,OO,11,8,18
0.285714285714286,4,80,173,OO,11,8,18
0.25,4,184,428,OO,11,8,18
0.571428571428571,8,101,201,OO,11,8,18
0.4375,7,280,587,OO,11,8,18
0.0625,1,318,632,OO,11,8,18
0.5625,9,255,647,OO,11,8,18
0.5,5,11,14,OO,11,8,18
0.428571428571429,6,109,197,OO,11,8,18
0.3125,5,223,484,OO,11,8,18
0.125,2,153,373,OO,11,8,18
0.214285714285714,3,71,150,OO,11,8,18
0.142857142857143,2,84,149,OO,11,8,18
0.416666666666667,5,35,53,OO,11,8,18
0.5,7,148,226,OO,11,8,18
0.5,6,42,59,OO,11,8,18
0.166666666666667,2,26,46,OO,11,8,18
0.333333333333333,4,26,45,OO,11,8,18
0.5,8,361,857,OO,11,8,18
0.875,14,165,300,OO,11,8,18
0.625,10,203,483,OO,11,8,18
0.357142857142857,5,88,183,OO,11,8,18
0.8125,13,176,384,OO,11,8,18
0.375,6,227,521,OO,11,8,18
0.75,12,156,350,OO,11,8,18
0.833333333333333,10,10,23,OO,11,8,18
0.857142857142857,12,54,92,OO,11,8,18
